Date,PeriodLabel,Year,MonthNumber,ActualValue,IndexedValue,AnnualMovementValue,CommonIndexBaseDate,IndicatorSort,Indicator,IndicatorLabel,Unit
2005-03-01,2005-03,2005,3,376.0,123.27868852459017,0.04155124653739617,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-03-01,2005-03,2005,3,0.047,81.0344827586207,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-04-01,2005-04,2005,4,141518.0,181.5497113534317,0.083,2000-01-01,1,UK average house price,Index: house price,GBP
2005-04-01,2005-04,2005,4,379.0,124.26229508196722,0.046961325966850875,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-04-01,2005-04,2005,4,0.048,82.75862068965519,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-05-01,2005-05,2005,5,142168.0,182.38357921744708,0.081,2000-01-01,1,UK average house price,Index: house price,GBP
2005-05-01,2005-05,2005,5,380.0,124.59016393442623,0.04683195592286493,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-05-01,2005-05,2005,5,0.048,82.75862068965519,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-06-01,2005-06,2005,6,142711.0,183.0801796023092,0.071,2000-01-01,1,UK average house price,Index: house price,GBP
2005-06-01,2005-06,2005,6,380.0,124.59016393442623,0.04395604395604402,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-06-01,2005-06,2005,6,0.047,81.0344827586207,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-07-01,2005-07,2005,7,143459.0,184.03976908274535,0.062,2000-01-01,1,UK average house price,Index: house price,GBP
2005-07-01,2005-07,2005,7,383.0,125.57377049180327,0.049315068493150704,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-07-01,2005-07,2005,7,0.047,81.0344827586207,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-08-01,2005-08,2005,8,144015.0,184.75304682488775,0.054000000000000006,2000-01-01,1,UK average house price,Index: house price,GBP
